sample_id,paper_id,title,doi,year,journal,material_family,source_type,notes,base_formula,final_formula,dopant_element_1,dopant_site_1,dopant_valence_1,dopant_concentration_1,dopant_element_2,dopant_site_2,dopant_valence_2,dopant_concentration_2,co_doping_flag,li_content,charge_compensation_type,synthesis_method,calcination_temperature_c,calcination_time_h,sintering_temperature_c,sintering_time_h,atmosphere,excess_lithium_source,mother_powder,relative_density_percent,grain_size_um,phase,lattice_parameter_a,secondary_phase,total_conductivity_25c_s_cm,bulk_conductivity_25c_s_cm,gb_conductivity_25c_s_cm,activation_energy_ev,electronic_conductivity_s_cm,eis_temperature_range,drt_available,li_contact_method,interfacial_resistance_ohm_cm2,critical_current_density_ma_cm2,li_symmetric_current_density_ma_cm2,li_symmetric_areal_capacity_mah_cm2,li_symmetric_lifetime_h,cycling_temperature_c,stack_pressure_mpa,cathode_type,cathode_loading_mg_cm2,liquid_electrolyte_amount_ul,cycling_rate,cycle_number,capacity_mah_g,capacity_retention_percent,coulombic_efficiency_percent,operating_temperature_c,confidence,synthetic_bprs_class
synthetic-sample-001,synthetic-paper-001,Synthetic fictitious PERD demonstration paper 001,10.0000/synthetic-perd-demo-001,2017,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Al-doped,Al,Li,3,0.08,Al,Li,3,0.08,true,6.1,synthetic aliovalent charge compensation,synthetic solid-state route,850,4,1050,8,air,Li2CO3,synthetic mother powder batch,94,1.5,cubic,12.85,none observed in synthetic record,0.0011,0.00198,0.00055,0.25,1e-08,25-80 C,true,synthetic polished Li contact,35,0.75,0.1,0.1,720,45,3.0,NCM811,1.8,0,C/10,100,154,86,97.5,45,high,high
synthetic-sample-002,synthetic-paper-001,Synthetic fictitious PERD demonstration paper 001,10.0000/synthetic-perd-demo-001,2018,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ga-doped,Ga,Li,3,0.14,unknown,unknown,,0.0,false,6.22,synthetic aliovalent charge compensation,synthetic solid-state route,875,5,1080,9,air,Li2CO3,synthetic mother powder batch,95,2.2,cubic,12.865,none observed in synthetic record,0.0013000000000000002,0.0023400000000000005,0.00063,0.27,2e-08,25-80 C,false,synthetic polished Li contact,42,0.87,0.15,0.15,830,25,3.8,LFP,2.25,0,C/10,125,157,87,97.85,25,high,high
synthetic-sample-003,synthetic-paper-001,Synthetic fictitious PERD demonstration paper 001,10.0000/synthetic-perd-demo-001,2019,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Nb-doped,Nb,Zr,5,0.2,unknown,unknown,,0.0,false,6.34,synthetic aliovalent charge compensation,synthetic solid-state route,900,6,1110,10,air,Li2CO3,synthetic mother powder batch,96,2.9,cubic,12.88,none observed in synthetic record,0.0015,0.0027,0.00071,0.29,3.0000000000000004e-08,25-80 C,false,synthetic polished Li contact,49,0.99,0.2,0.2,940,25,4.6,NCM622,2.7,0,C/10,150,160,88,98.2,25,high,high
synthetic-sample-004,synthetic-paper-002,Synthetic fictitious PERD demonstration paper 002,10.0000/synthetic-perd-demo-002,2020,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ta-doped,Ta,Zr,5,0.26,unknown,unknown,,0.0,false,6.46,synthetic aliovalent charge compensation,synthetic solid-state route,925,7,1140,11,air,Li2CO3,synthetic mother powder batch,97,3.6,cubic,12.895,none observed in synthetic record,0.0017000000000000001,0.0030600000000000002,0.0007900000000000001,0.25,4e-08,25-80 C,false,synthetic polished Li contact,56,1.1099999999999999,0.25,0.25,1050,25,5.4,LCO,3.15,0,C/10,175,163,89,98.55,25,high,high
synthetic-sample-005,synthetic-paper-002,Synthetic fictitious PERD demonstration paper 002,10.0000/synthetic-perd-demo-002,2021,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Al-doped,Al,Li,3,0.32,unknown,unknown,,0.0,false,6.58,synthetic aliovalent charge compensation,synthetic solid-state route,950,4,1170,12,air,Li2CO3,synthetic mother powder batch,94,4.3,cubic,12.91,none observed in synthetic record,0.0019000000000000002,0.0034200000000000003,0.00055,0.27,5e-08,25-80 C,true,synthetic polished Li contact,63,0.75,0.3,0.1,1160,25,6.2,NCM811,3.6,0,C/10,200,154,90,98.9,25,high,high
synthetic-sample-006,synthetic-paper-002,Synthetic fictitious PERD demonstration paper 002,10.0000/synthetic-perd-demo-002,2022,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ga-doped,Ga,Li,3,0.38,unknown,unknown,,0.0,false,6.7,synthetic aliovalent charge compensation,synthetic solid-state route,850,5,1200,8,air,Li2CO3,synthetic mother powder batch,95,5.0,cubic,12.925,none observed in synthetic record,0.0011,0.00198,0.00063,0.29,1e-08,25-80 C,false,synthetic polished Li contact,35,0.87,0.1,0.15,720,25,3.0,LFP,4.05,0,C/10,100,157,91,97.5,25,high,high
synthetic-sample-007,synthetic-paper-003,Synthetic fictitious PERD demonstration paper 003,10.0000/synthetic-perd-demo-003,2023,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Nb-doped,Nb,Zr,5,0.08,unknown,unknown,,0.0,false,6.82,synthetic aliovalent charge compensation,synthetic solid-state route,875,6,1050,9,air,Li2CO3,synthetic mother powder batch,96,5.7,cubic,12.94,none observed in synthetic record,0.0013000000000000002,0.0023400000000000005,0.00071,0.25,2e-08,25-80 C,false,synthetic polished Li contact,42,0.99,0.15,0.2,830,45,3.8,NCM622,1.8,0,C/10,125,160,86,97.85,45,high,high
synthetic-sample-008,synthetic-paper-003,Synthetic fictitious PERD demonstration paper 003,10.0000/synthetic-perd-demo-003,2024,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ta-doped,Ta,Zr,5,0.14,Al,Li,3,0.08,true,6.94,synthetic aliovalent charge compensation,synthetic solid-state route,900,7,1080,10,air,Li2CO3,synthetic mother powder batch,97,6.4,cubic,12.955,none observed in synthetic record,0.0015,0.0027,0.0007900000000000001,0.27,3.0000000000000004e-08,25-80 C,false,synthetic polished Li contact,49,1.1099999999999999,0.2,0.25,940,25,4.6,LCO,2.25,0,C/10,150,163,87,98.2,25,high,high
synthetic-sample-009,synthetic-paper-003,Synthetic fictitious PERD demonstration paper 003,10.0000/synthetic-perd-demo-003,2025,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Al-doped,Al,Li,3,0.2,unknown,unknown,,0.0,false,6.1,synthetic aliovalent charge compensation,synthetic solid-state route,925,4,1110,11,air,Li2CO3,synthetic mother powder batch,94,1.5,cubic,12.97,none observed in synthetic record,0.0017000000000000001,0.0030600000000000002,0.00055,0.29,4e-08,25-80 C,true,synthetic polished Li contact,56,0.75,0.25,0.1,1050,25,5.4,NCM811,2.7,0,C/10,175,154,88,98.55,25,high,high
synthetic-sample-010,synthetic-paper-004,Synthetic fictitious PERD demonstration paper 004,10.0000/synthetic-perd-demo-004,2017,Synthetic Demonstration Journal,LLZO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=high; not real literature data,Li7La3Zr2O12,Li7La3Zr2O12 synthetic Ga-doped,Ga,Li,3,0.26,unknown,unknown,,0.0,false,6.22,synthetic aliovalent charge compensation,synthetic solid-state route,950,5,1140,12,air,Li2CO3,synthetic mother powder batch,95,2.2,cubic,12.985,none observed in synthetic record,0.0019000000000000002,0.0034200000000000003,0.00063,0.25,5e-08,25-80 C,false,synthetic polished Li contact,63,0.87,0.3,0.15,1160,25,6.2,LFP,3.15,0,C/10,200,157,89,98.9,25,high,high
synthetic-sample-011,synthetic-paper-004,Synthetic fictitious PERD demonstration paper 004,10.0000/synthetic-perd-demo-004,2018,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Nb-doped,Nb,Zr,5,0.32,unknown,unknown,,0.0,false,6.34,synthetic aliovalent charge compensation,synthetic solid-state route,850,6,1170,8,air,Li2CO3,synthetic mother powder batch,88,2.9,mixed cubic/tetragonal,12.85,minor synthetic secondary phase,0.00018,0.000324,0.00020999999999999998,0.42,1e-08,25-80 C,false,synthetic polished Li contact,85,0.32,0.1,0.2,480,25,3.0,NCM622,3.6,0,C/20,100,128,70,97.5,25,medium,medium
synthetic-sample-012,synthetic-paper-004,Synthetic fictitious PERD demonstration paper 004,10.0000/synthetic-perd-demo-004,2019,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Al-doped,Al,Li,3,0.38,unknown,unknown,,0.0,false,6.46,synthetic aliovalent charge compensation,synthetic solid-state route,875,7,1200,9,air,Li2CO3,synthetic mother powder batch,89,3.6,mixed cubic/tetragonal,12.865,minor synthetic secondary phase,0.00023,0.00041400000000000003,0.00023999999999999998,0.44999999999999996,2e-08,25-80 C,false,synthetic polished Li contact,103,0.38,0.15,0.25,535,25,3.8,LCO,4.05,0,C/20,125,132,71,97.85,25,medium,medium
synthetic-sample-013,synthetic-paper-005,Synthetic fictitious PERD demonstration paper 005,10.0000/synthetic-perd-demo-005,2020,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Ta-doped,Ta,Zr,5,0.08,unknown,unknown,,0.0,false,6.58,synthetic aliovalent charge compensation,synthetic solid-state route,900,4,1050,10,air,Li2CO3,synthetic mother powder batch,84,4.3,mixed cubic/tetragonal,12.88,minor synthetic secondary phase,0.00028000000000000003,0.0005040000000000001,0.00015,0.36,3.0000000000000004e-08,25-80 C,true,synthetic polished Li contact,121,0.44,0.2,0.1,260,45,4.6,NCM811,1.8,0,C/20,150,136,72,98.2,45,medium,medium
synthetic-sample-014,synthetic-paper-005,Synthetic fictitious PERD demonstration paper 005,10.0000/synthetic-perd-demo-005,2021,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic W-doped,W,Zr,6,0.14,unknown,unknown,,0.0,false,6.7,synthetic aliovalent charge compensation,synthetic solid-state route,925,5,1080,11,air,Li2CO3,synthetic mother powder batch,85,5.0,mixed cubic/tetragonal,12.895,minor synthetic secondary phase,0.00033,0.000594,0.00017999999999999998,0.39,4e-08,25-80 C,false,synthetic polished Li contact,139,0.5,0.25,0.15,315,25,5.4,LFP,2.25,0,C/20,175,140,73,98.55,25,medium,medium
synthetic-sample-015,synthetic-paper-005,Synthetic fictitious PERD demonstration paper 005,10.0000/synthetic-perd-demo-005,2022,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Nb-doped,Nb,Zr,5,0.2,Al,Li,3,0.08,true,6.82,synthetic aliovalent charge compensation,synthetic solid-state route,950,6,1110,12,air,Li2CO3,synthetic mother powder batch,86,5.7,mixed cubic/tetragonal,12.91,minor synthetic secondary phase,0.00038,0.000684,0.00020999999999999998,0.42,5e-08,25-80 C,false,synthetic polished Li contact,157,0.56,0.3,0.2,370,25,6.2,NCM622,2.7,0,C/20,200,144,74,98.9,25,medium,medium
synthetic-sample-016,synthetic-paper-006,Synthetic fictitious PERD demonstration paper 006,10.0000/synthetic-perd-demo-006,2023,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Al-doped,Al,Li,3,0.26,unknown,unknown,,0.0,false,6.94,synthetic aliovalent charge compensation,synthetic solid-state route,850,7,1140,8,air,Li2CO3,synthetic mother powder batch,87,6.4,mixed cubic/tetragonal,12.925,minor synthetic secondary phase,0.00018,0.000324,0.00023999999999999998,0.44999999999999996,1e-08,25-80 C,false,synthetic polished Li contact,85,0.32,0.1,0.25,425,25,3.0,LCO,3.15,0,C/20,100,128,75,97.5,25,medium,medium
synthetic-sample-017,synthetic-paper-006,Synthetic fictitious PERD demonstration paper 006,10.0000/synthetic-perd-demo-006,2024,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Ta-doped,Ta,Zr,5,0.32,unknown,unknown,,0.0,false,6.1,synthetic aliovalent charge compensation,synthetic solid-state route,875,4,1170,9,air,Li2CO3,synthetic mother powder batch,88,1.5,mixed cubic/tetragonal,12.94,minor synthetic secondary phase,0.00023,0.00041400000000000003,0.00015,0.36,2e-08,25-80 C,true,synthetic polished Li contact,103,0.38,0.15,0.1,480,25,3.8,NCM811,3.6,0,C/20,125,132,68,97.85,25,medium,medium
synthetic-sample-018,synthetic-paper-006,Synthetic fictitious PERD demonstration paper 006,10.0000/synthetic-perd-demo-006,2025,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic W-doped,W,Zr,6,0.38,unknown,unknown,,0.0,false,6.22,synthetic aliovalent charge compensation,synthetic solid-state route,900,5,1200,10,air,Li2CO3,synthetic mother powder batch,89,2.2,mixed cubic/tetragonal,12.955,minor synthetic secondary phase,0.00028000000000000003,0.0005040000000000001,0.00017999999999999998,0.39,3.0000000000000004e-08,25-80 C,false,synthetic polished Li contact,121,0.44,0.2,0.15,535,25,4.6,LFP,4.05,0,C/20,150,136,69,98.2,25,medium,medium
synthetic-sample-019,synthetic-paper-007,Synthetic fictitious PERD demonstration paper 007,10.0000/synthetic-perd-demo-007,2017,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Nb-doped,Nb,Zr,5,0.08,unknown,unknown,,0.0,false,6.34,synthetic aliovalent charge compensation,synthetic solid-state route,925,6,1050,11,air,Li2CO3,synthetic mother powder batch,84,2.9,mixed cubic/tetragonal,12.97,minor synthetic secondary phase,0.00033,0.000594,0.00020999999999999998,0.42,4e-08,25-80 C,false,synthetic polished Li contact,139,0.5,0.25,0.2,260,45,5.4,NCM622,1.8,0,C/20,175,140,70,98.55,45,medium,medium
synthetic-sample-020,synthetic-paper-007,Synthetic fictitious PERD demonstration paper 007,10.0000/synthetic-perd-demo-007,2018,Synthetic Demonstration Journal,LLZTO,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=medium; not real literature data,Li6.5La3Zr1.5Ta0.5O12,Li6.5La3Zr1.5Ta0.5O12 synthetic Al-doped,Al,Li,3,0.14,unknown,unknown,,0.0,false,6.46,synthetic aliovalent charge compensation,synthetic solid-state route,950,7,1080,12,air,Li2CO3,synthetic mother powder batch,85,3.6,mixed cubic/tetragonal,12.985,minor synthetic secondary phase,0.00038,0.000684,0.00023999999999999998,0.44999999999999996,5e-08,25-80 C,false,synthetic polished Li contact,157,0.56,0.3,0.25,315,25,6.2,LCO,2.25,0,C/20,200,144,71,98.9,25,medium,medium
synthetic-sample-021,synthetic-paper-007,Synthetic fictitious PERD demonstration paper 007,10.0000/synthetic-perd-demo-007,2019,Synthetic Demonstration Journal,NASICON,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li1.3Al0.3Ti1.7(PO4)3,Li1.3Al0.3Ti1.7(PO4)3 synthetic Nb-doped,Nb,Zr,5,0.2,unknown,unknown,,0.0,false,6.58,synthetic aliovalent charge compensation,synthetic solid-state route,850,4,1110,8,air,Li2CO3,synthetic mother powder batch,76,4.3,tetragonal,,synthetic impurity-rich example,2.2e-05,3.96e-05,4e-06,0.5,1e-08,25-80 C,true,synthetic polished Li contact,250,0.06,0.1,0.1,95,25,3.0,NCM811,2.7,0,C/50,100,90,56,92.0,25,low,low
synthetic-sample-022,synthetic-paper-008,Synthetic fictitious PERD demonstration paper 008,10.0000/synthetic-perd-demo-008,2020,Synthetic Demonstration Journal,NASICON,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li1.3Al0.3Ti1.7(PO4)3,Li1.3Al0.3Ti1.7(PO4)3 synthetic Al-doped,Al,Ti,3,0.26,unknown,unknown,,0.0,true,6.7,synthetic aliovalent charge compensation,synthetic solid-state route,875,5,1140,9,air,Li2CO3,synthetic mother powder batch,70,5.0,unknown,,synthetic impurity-rich example,2.9e-05,5.22e-05,8e-06,0.54,2e-08,25-80 C,false,synthetic polished Li contact,285,0.1,0.15,0.15,125,25,3.8,LFP,3.15,0,C/50,125,95,38,92.5,25,unknown,low
synthetic-sample-023,synthetic-paper-008,Synthetic fictitious PERD demonstration paper 008,10.0000/synthetic-perd-demo-008,2021,Synthetic Demonstration Journal,NASICON,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li1.3Al0.3Ti1.7(PO4)3,Li1.3Al0.3Ti1.7(PO4)3 synthetic Sc-doped,Sc,Zr,3,0.32,unknown,unknown,,0.0,false,6.82,synthetic aliovalent charge compensation,synthetic solid-state route,900,6,1170,10,air,Li2CO3,synthetic mother powder batch,71,5.7,tetragonal,,synthetic impurity-rich example,3.6e-05,6.48e-05,1.2e-05,0.58,3.0000000000000004e-08,25-80 C,false,synthetic polished Li contact,320,0.14,0.2,0.2,155,25,4.6,NCM622,3.6,0,C/50,150,100,41,93.0,25,low,low
synthetic-sample-024,synthetic-paper-008,Synthetic fictitious PERD demonstration paper 008,10.0000/synthetic-perd-demo-008,2022,Synthetic Demonstration Journal,NASICON,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li1.3Al0.3Ti1.7(PO4)3,Li1.3Al0.3Ti1.7(PO4)3 synthetic Nb-doped,Nb,Zr,5,0.38,unknown,unknown,,0.0,false,6.94,synthetic aliovalent charge compensation,synthetic solid-state route,925,7,1200,11,air,Li2CO3,synthetic mother powder batch,72,6.4,unknown,,synthetic impurity-rich example,4.2999999999999995e-05,7.74e-05,1.6e-05,0.62,4e-08,25-80 C,false,synthetic polished Li contact,355,0.18,0.25,0.25,185,25,5.4,LCO,4.05,0,C/50,175,105,44,93.5,25,low,low
synthetic-sample-025,synthetic-paper-009,Synthetic fictitious PERD demonstration paper 009,10.0000/synthetic-perd-demo-009,2023,Synthetic Demonstration Journal,NASICON,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li1.3Al0.3Ti1.7(PO4)3,Li1.3Al0.3Ti1.7(PO4)3 synthetic Al-doped,Al,Ti,3,0.08,unknown,unknown,,0.0,false,6.1,synthetic aliovalent charge compensation,synthetic solid-state route,950,4,1050,12,air,Li2CO3,synthetic mother powder batch,73,1.5,tetragonal,,synthetic impurity-rich example,8e-06,1.44e-05,1.9999999999999998e-05,0.5,5e-08,25-80 C,true,synthetic polished Li contact,180,0.22,0.3,0.1,35,45,6.2,NCM811,1.8,0,C/50,200,80,47,94.0,45,unknown,low
synthetic-sample-026,synthetic-paper-009,Synthetic fictitious PERD demonstration paper 009,10.0000/synthetic-perd-demo-009,2024,Synthetic Demonstration Journal,sulfide,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li6PS5Cl,Li6PS5Cl synthetic Br-doped,Br,S,-1,0.14,unknown,unknown,,0.0,false,6.22,synthetic aliovalent charge compensation,synthetic mechanochemical route,850,5,540,8,Ar,unknown,synthetic mother powder batch,74,2.2,unknown,,synthetic impurity-rich example,1.4999999999999999e-05,2.7e-05,4e-06,0.54,1e-08,25-80 C,false,synthetic polished Li contact,215,0.06,0.1,0.15,65,25,3.0,LFP,2.25,0,C/50,100,85,50,92.0,25,low,low
synthetic-sample-027,synthetic-paper-009,Synthetic fictitious PERD demonstration paper 009,10.0000/synthetic-perd-demo-009,2025,Synthetic Demonstration Journal,sulfide,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li6PS5Cl,Li6PS5Cl synthetic Ge-doped,Ge,P,4,0.2,unknown,unknown,,0.0,false,6.34,synthetic aliovalent charge compensation,synthetic mechanochemical route,875,6,560,9,Ar,unknown,synthetic mother powder batch,75,2.9,tetragonal,,synthetic impurity-rich example,2.2e-05,3.96e-05,8e-06,0.58,2e-08,25-80 C,false,synthetic polished Li contact,250,0.1,0.15,0.2,95,25,3.8,NCM622,2.7,0,C/50,125,90,53,92.5,25,low,low
synthetic-sample-028,synthetic-paper-010,Synthetic fictitious PERD demonstration paper 010,10.0000/synthetic-perd-demo-010,2017,Synthetic Demonstration Journal,sulfide,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li6PS5Cl,Li6PS5Cl synthetic Cl-doped,Cl,S,-1,0.26,unknown,unknown,,0.0,false,6.46,synthetic aliovalent charge compensation,synthetic mechanochemical route,900,7,580,10,Ar,unknown,synthetic mother powder batch,76,3.6,unknown,,synthetic impurity-rich example,2.9e-05,5.22e-05,1.2e-05,0.62,3.0000000000000004e-08,25-80 C,false,synthetic polished Li contact,285,0.14,0.2,0.25,125,25,4.6,LCO,3.15,0,C/50,150,95,56,93.0,25,unknown,low
synthetic-sample-029,synthetic-paper-010,Synthetic fictitious PERD demonstration paper 010,10.0000/synthetic-perd-demo-010,2018,Synthetic Demonstration Journal,sulfide,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li6PS5Cl,Li6PS5Cl synthetic Br-doped,Br,S,-1,0.32,unknown,unknown,,0.0,true,6.58,synthetic aliovalent charge compensation,synthetic mechanochemical route,925,4,520,11,Ar,unknown,synthetic mother powder batch,70,4.3,tetragonal,,synthetic impurity-rich example,3.6e-05,6.48e-05,1.6e-05,0.5,4e-08,25-80 C,true,synthetic polished Li contact,320,0.18,0.25,0.1,155,25,5.4,NCM811,3.6,0,C/50,175,100,38,93.5,25,low,low
synthetic-sample-030,synthetic-paper-010,Synthetic fictitious PERD demonstration paper 010,10.0000/synthetic-perd-demo-010,2019,Synthetic Demonstration Journal,sulfide,synthetic/fictitious demonstration data,synthetic/fictitious row for PERD pipeline demo only; intended BPRS class=low; not real literature data,Li6PS5Cl,Li6PS5Cl synthetic Ge-doped,Ge,P,4,0.38,unknown,unknown,,0.0,false,6.7,synthetic aliovalent charge compensation,synthetic mechanochemical route,950,5,540,12,Ar,unknown,synthetic mother powder batch,71,5.0,unknown,,synthetic impurity-rich example,4.2999999999999995e-05,7.74e-05,1.9999999999999998e-05,0.54,5e-08,25-80 C,false,synthetic polished Li contact,355,0.22,0.3,0.15,185,25,6.2,LFP,4.05,0,C/50,200,105,41,94.0,25,low,low
